problem,capacity,weights_chr,values_chr,maxValue,ncapacity,corr,dev.w,dev.v,mean.w,mean.v,mean.ef,dev.ef,sum.ef,profit,nprofit,case_id,solution,runtime,solvetime,no_solutions,variables,propagators,propagations,nodes,failures,restarts,peak_depth,ncapacity_bin,nprofit_bin,region,propagations_cum_dist
93-0.41-0.39,70,"49,25,27,38,13,19","14,9,40,5,10,24",102,0.4093567251461988,-0.164758111541,13.080519867344723,12.992305415129373,28.5,17,2.774074074074074,2.6201331524610567,53.20952160493827,39,0.38235294117647056,93,1,2.773,0.204,1,55,80,232,6,1,0,3,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9045563549160671
76-0.41-0.62,61,"2,6,20,40,40,41","5,2,36,23,44,28",138,0.40939597315436244,0.758775033831,18.00462903440853,16.73320053068151,24.833333333333332,23,1.344677102285798,0.9607139555641279,5.327670351119172,85,0.6159420289855072,76,0,3.379,0.246,0,55,80,756,17,9,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9993579454253612
88-0.41-0.38,72,"25,44,17,39,30,23","27,19,46,11,37,13",153,0.4044943820224719,-0.576781343479,10.191499726078918,13.881642554107204,29.666666666666668,25.5,1.6227961237495945,1.175911069826157,9.241084291243608,58,0.3790849673202614,88,1,4.725,0.296,1,55,80,232,6,1,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9045563549160671
235-0.45-0.37,74,"16,41,46,29,4,30","3,29,1,35,8,43",119,0.4457831325301205,0.232696141418,15.603418428878546,18.049007359593674,27.666666666666668,19.833333333333332,9.128895380659614,18.154041700757723,2044.3197910225072,44,0.3697478991596639,235,1,3.82,0.328,1,55,80,293,7,2,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9608313349320543
143-0.43-0.86,64,"17,20,24,17,24,48","8,27,7,30,20,7",99,0.4266666666666667,-0.493911743879,11.696153213770756,10.559356040971437,25,16.5,2.486353615520282,2.3878533184314823,41.764699773942496,85,0.8585858585858586,143,0,4.331,0.2,0,55,0,126,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.95184
228-0.44-0.89,61,"3,39,11,22,26,39","22,5,39,8,41,12",127,0.4357142857142857,-0.491952381507,14.596803303006677,15.689699381016409,23.333333333333332,21.166666666666668,2.475426876646389,2.9222888365006203,55.76016702966385,113,0.889763779527559,228,0,2.805,0.146,0,55,0,126,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.95184
240-0.42-0.65,73,"21,7,35,38,25,48","16,33,27,37,17,21",151,0.41954022988505746,-0.044922798693,14.436065946094871,8.635199283552561,29,25.166666666666668,1.2673745094088231,0.6711945964883127,2.681445701465198,98,0.6490066225165563,240,0,8.263,0.349,0,55,80,457,9,5,0,2,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9630818619582665
55-0.42-0.4,59,"20,32,22,9,28,31","7,35,39,18,48,18",165,0.4154929577464789,0.412219420798,8.640987597877148,15.55313473226539,23.666666666666668,27.5,1.1901811151811152,0.9353647433154325,4.591549154616921,66,0.4,55,1,6.651,0.287,1,55,80,307,6,2,0,3,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9678657074340528
240-0.44-0.62,76,"21,7,35,38,25,48","16,33,27,37,17,21",151,0.4367816091954023,-0.044922798693,14.436065946094871,8.635199283552561,29,25.166666666666668,1.2673745094088231,0.6711945964883127,2.681445701465198,93,0.6158940397350994,240,0,5.319,0.3,0,55,80,522,11,6,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9810593900481541
96-0.41-0.65,59,"36,6,9,25,40,28","2,14,21,17,47,44",145,0.4097222222222222,0.326341597859,13.899640283115243,17.72474729486056,24,24.166666666666668,3.635859759764641,7.0475866487836,290.0289278994433,94,0.6482758620689655,96,0,4.201,0.273,0,55,80,388,9,5,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9231139646869984
134-0.45-0.4,72,"30,37,28,8,11,48","29,7,29,31,29,34",159,0.4444444444444444,-0.205302741525,15.28397853963424,9.751922887307918,27,26.5,1.5558089754255429,1.8773096409678092,19.474999143334976,63,0.39622641509433965,134,1,3.364,0.25,1,55,80,233,6,1,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9154276578737011
233-0.41-0.4,70,"24,33,27,26,19,42","21,19,5,47,3,22",117,0.4093567251461988,0.212378974079,8.018728078691781,15.795568998931314,28.5,19.5,2.845885829984374,2.4062462898858183,49.39387302196895,46,0.39316239316239315,233,1,4.775,0.384,1,55,80,305,8,2,0,5,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9675459632294164
157-0.42-0.62,62,"26,33,10,27,13,40","38,40,39,42,28,32",219,0.4161073825503356,0.121591480618,11.513759884011247,5.357238094391549,24.833333333333332,36.5,0.6871272733114838,0.33851985352563896,1.160314514788142,135,0.6164383561643836,157,0,6.391,0.346,0,55,80,410,7,4,0,2,"(0.4,0.45]","(0.6,0.65]",phaseT,0.946067415730337
159-0.41-0.86,54,"5,17,42,38,28,2","43,15,26,16,21,35",156,0.4090909090909091,-0.649013786374,16.769019053003667,11.099549540409287,22,26,1.1050788681602635,0.8946401485408242,4.068154388108793,134,0.8589743589743589,159,0,9.325,0.202,0,55,0,127,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.97296
57-0.41-0.4,52,"36,10,14,36,10,22","18,26,13,34,14,47",152,0.40625,0.303859645812,12.1764800606196,13.261473020244269,21.333333333333332,25.333333333333332,0.9504554686031532,0.5895614871737593,1.7526416993406733,60,0.39473684210526316,57,1,4.754,0.335,1,55,80,239,5,1,0,2,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9520383693045563
1-0.45-0.65,50,"2,2,42,31,30,6","2,23,40,40,10,12",127,0.4424778761061947,0.674254072333,17.55467648994611,16.055113411828227,18.833333333333332,21.166666666666668,1.0686594202898552,1.0107906506520006,5.136773393194707,82,0.6456692913385826,1,0,2.864,0.216,0,55,80,495,11,6,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9728731942215089
113-0.44-0.61,79,"24,41,43,45,19,8","33,37,21,37,32,33",193,0.4388888888888889,-0.0917257320903,15.20526224699857,5.879342366852492,30,32.166666666666664,0.9892317236067236,0.6274690439734313,1.9692827403835511,117,0.6062176165803109,113,0,5.655,0.299,0,55,80,441,9,5,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9556982343499197
110-0.43-0.86,65,"47,22,35,6,29,13","7,7,6,8,3,26",57,0.4276315789473684,-0.450854943404,14.922019523732928,8.264381404557755,25.333333333333332,9.5,4.434523809523809,3.6125862589643516,136.02962018140587,49,0.8596491228070176,110,0,5.484,0.259,0,55,67,213,3,2,0,1,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.99984
192-0.42-0.87,74,"22,37,42,13,21,42","13,47,11,43,38,6",158,0.4180790960451977,-0.498807436315,12.4056438768812,18.261069702146877,29.5,26.333333333333332,2.35878011889757,2.6105898062801796,45.1535961523377,137,0.8670886075949367,192,0,4.912,0.227,0,55,0,126,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.95184
158-0.44-0.86,53,"17,30,38,3,5,29","3,30,12,26,45,10",126,0.4344262295081967,-0.50448372319,14.334108506170402,15.543487382180357,20.333333333333332,21,2.15997150997151,2.171712993654413,31.654890057710574,108,0.8571428571428571,158,0,3.465,0.342,0,55,0,126,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.95184
193-0.42-0.4,61,"10,46,31,34,19,6","20,23,27,20,26,10",126,0.4178082191780822,0.559019688361,15.344923156101716,6.131883886702357,24.333333333333332,21,1.1131528964862298,0.6192917911616425,1.9944330809003175,50,0.3968253968253968,193,1,4.505,0.307,1,55,80,233,6,1,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9154276578737011
128-0.41-0.63,67,"23,15,8,34,44,41","12,14,17,24,31,19",117,0.40606060606060607,0.714761903913,14.515508947329405,7.00713921654194,27.5,19.5,1.4087666192679675,0.602213509397373,2.8158464486700803,73,0.6239316239316239,128,0,5.496,0.31,0,55,80,524,11,6,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9818619582664526
95-0.45-0.86,43,"7,39,8,10,8,24","11,4,7,9,31,7",69,0.4479166666666667,-0.485442986452,12.946041866145807,9.833615815151617,16,11.5,2.721161305838725,3.6166707134832676,83.17591269313662,59,0.855072463768116,95,0,4.538,0.169,0,55,0,133,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.99632
96-0.45-0.65,64,"36,6,9,25,40,28","2,14,21,17,47,44",145,0.4444444444444444,0.326341597859,13.899640283115243,17.72474729486056,24,24.166666666666668,3.635859759764641,7.0475866487836,290.0289278994433,94,0.6482758620689655,96,0,4.767,0.346,0,55,80,420,9,5,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9504012841091493
0-0.42-0.4,58,"29,1,38,43,6,23","8,6,3,45,7,16",85,0.4142857142857143,0.53643565966,16.931233465600393,15.715173135115842,23.333333333333332,14.166666666666666,3.284755291005291,4.745299354915405,143.90997027746283,34,0.4,0,1,4.852,0.403,1,55,80,235,5,1,0,2,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9382893685051958
96-0.43-0.37,61,"36,6,9,25,40,28","2,14,21,17,47,44",145,0.4236111111111111,0.326341597859,13.899640283115243,17.72474729486056,24,24.166666666666668,3.635859759764641,7.0475866487836,290.0289278994433,53,0.36551724137931035,96,1,4.221,0.376,1,55,80,314,8,2,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9705835331734612
153-0.44-0.61,79,"27,35,45,43,22,8","26,27,17,39,34,28",171,0.4388888888888889,-0.131639123611,13.971399357258385,7.503332592921628,30,28.5,1.169525645015841,0.8093121571079326,3.4473645041216967,104,0.6081871345029239,153,0,4.22,0.385,0,55,80,483,9,5,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9709470304975923
135-0.45-0.89,85,"45,23,36,14,33,40","9,34,2,45,16,2",108,0.44502617801047123,-0.924529971307,11.444066876188144,17.787636155487327,31.833333333333332,18,7.6750136165577345,8.948444610591546,667.7081454315114,96,0.8888888888888888,135,0,4.847,0.166,0,55,0,126,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.95184
21-0.43-0.38,71,"20,44,12,41,11,38","28,31,26,31,19,24",159,0.42771084337349397,0.662262892118,15.05545305418162,4.5934736311423405,27.666666666666668,26.5,1.0133400602415883,0.4833188570580139,1.1690533311828197,60,0.37735849056603776,21,1,3.368,0.212,1,55,80,233,6,1,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9154276578737011
25-0.42-0.4,70,"33,18,35,39,22,22","48,5,45,14,33,21",166,0.41420118343195267,0.416074514061,8.565434412022933,17.247221998532595,28.166666666666668,27.666666666666668,1.5942129629629629,1.2720580874269367,10.209193161060721,66,0.39759036144578314,25,1,3.655,0.285,1,55,80,235,5,1,0,3,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9382893685051958
40-0.45-0.37,52,"11,35,27,13,18,12","1,45,16,29,47,23",161,0.4482758620689655,0.475467693702,9.688481133111972,17.55467648994611,19.333333333333332,26.833333333333332,2.469711915614297,4.206556038285057,101.43588720555424,59,0.36645962732919257,40,1,6.633,0.204,1,55,80,320,7,2,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.986890487609912
160-0.41-0.62,66,"14,13,34,43,43,16","9,22,19,23,24,36",133,0.4049079754601227,0.0664292894209,14.46950816948063,8.70440501508671,27.166666666666668,22.166666666666668,1.3402691098629314,0.647470369395462,2.79078779898695,82,0.6165413533834586,160,0,4.29,0.299,0,55,80,434,9,5,0,2,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9529695024077046
195-0.43-0.86,64,"38,18,22,44,10,18","14,34,24,16,22,13",123,0.4266666666666667,-0.469799737372,13.130118049735882,7.9435508432942,25,20.5,1.458254164136517,1.0406864680003172,6.675122897085624,105,0.8536585365853658,195,0,5.773,0.133,0,55,0,126,0,1,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.95184
130-0.45-0.64,68,"23,11,38,28,35,18","17,9,9,17,30,28",110,0.4444444444444444,0.123200797726,10.251829105091442,9.025888691240695,25.5,18.333333333333332,1.708994708994709,1.273941849102917,11.13068015877375,70,0.6363636363636364,130,0,4.32,0.262,0,55,80,393,7,4,0,3,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9284109149277688
135-0.41-0.87,78,"45,23,36,14,33,40","9,34,2,45,16,2",108,0.4083769633507853,-0.924529971307,11.444066876188144,17.787636155487327,31.833333333333332,18,7.6750136165577345,8.948444610591546,667.7081454315114,93,0.8611111111111112,135,1,4.935,0.225,1,55,0,130,1,0,0,0,"(0.4,0.45]","(0.85,0.9]",overconstrained,0.98512
103-0.44-0.37,76,"3,4,44,40,44,38","42,1,2,35,15,49",144,0.4393063583815029,-0.00583740771903,19.762759591379606,20.80384579831335,28.833333333333332,24,5.1538548752834465,8.380259716237646,454.6708265074737,53,0.3680555555555556,103,1,2.068,0.193,1,55,80,232,6,1,0,4,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9045563549160671
51-0.42-0.64,64,"27,3,37,23,35,28","11,15,35,41,14,29",145,0.41830065359477125,0.241527821415,12.19426094521517,12.52863387072456,25.5,24.166666666666668,1.28969686047062,0.969469301786623,5.202899261332415,92,0.6344827586206897,51,0,4.138,0.284,0,55,80,460,9,5,0,2,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9645264847512038
145-0.41-0.39,74,"49,39,4,45,22,23","13,36,25,23,3,38",138,0.4065934065934066,-0.0612320265732,17.060676031935742,13.401492454200763,30.333333333333332,23,2.484613722153768,2.6958701080248932,49.56304562075434,53,0.38405797101449274,145,1,7.744,0.312,1,55,80,239,6,1,0,3,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9520383693045563
61-0.43-0.39,62,"38,2,45,8,37,16","2,19,37,29,49,26",162,0.4246575342465753,0.207791526625,17.94064287216784,15.987495113369073,24.333333333333332,27,3.661304683212902,7.524417951112071,325.57958321643343,63,0.3888888888888889,61,1,4.584,0.284,1,55,80,236,5,1,0,2,"(0.4,0.45]","(0.35,0.4]",underconstrained,0.9448441247002398
40-0.43-0.63,49,"11,35,27,13,18,12","1,45,16,29,47,23",161,0.4224137931034483,0.475467693702,9.688481133111972,17.55467648994611,19.333333333333332,26.833333333333332,2.469711915614297,4.206556038285057,101.43588720555424,101,0.6273291925465838,40,0,3.458,0.226,0,55,80,378,7,4,0,2,"(0.4,0.45]","(0.6,0.65]",phaseT,0.9059390048154093
