PartcipantID:1
RandID:1
InitialTimeStamp:15-30-37-975
instanceNumber;capacity;profit;weights;values;id;type;sol
1;64;88;17,20,24,17,24,48;8,27,7,30,20,7;143-0.43-0.89;;0
2;61;109;3,39,11,22,26,39;22,5,39,8,41,12;228-0.44-0.86;;0
3;93;98;44,49,41,45,29,20;12,4,21,3,28,45;214-0.41-0.87;;0
4;54;105;19,15,6,21,30,38;3,33,45,20,5,17;12-0.42-0.86;;0
5;71;79;18,42,30,43,33,1;16,13,34,2,5,22;4-0.43-0.86;;0
6;69;72;13,16,45,49,18,14;9,8,1,20,34,9;125-0.45-0.9;;0
7;54;134;5,17,42,38,28,2;43,15,26,16,21,35;159-0.41-0.86;;0
8;39;60;7,39,8,10,8,24;11,4,7,9,31,7;95-0.41-0.88;;0
9;94;122;42,41,14,45,42,41;21,39,12,3,20,48;67-0.42-0.86;;0
10;79;35;36,10,23,34,43,30;14,2,8,10,20,3;6-0.45-0.62;;0
11;73;132;32,16,20,21,34,43;25,45,33,34,29,44;53-0.44-0.63;;0
12;43;114;7,4,17,21,20,28;3,44,28,22,38,46;47-0.45-0.63;;0
13;80;97;40,10,40,39,27,22;16,13,29,29,33,34;49-0.45-0.63;;0
14;92;133;48,27,32,39,31,33;38,34,49,38,31,29;41-0.44-0.61;;0
15;87;117;27,27,43,29,44,33;35,29,15,38,29,47;112-0.43-0.61;;0
16;72;141;37,27,22,46,3,27;47,37,34,39,43,29;69-0.45-0.62;;0
17;72;73;23,15,8,34,44,41;12,14,17,24,31,19;128-0.44-0.63;;0
18;69;96;20,44,12,41,11,38;28,31,26,31,19,24;21-0.42-0.61;;0
19;96;93;46,47,30,48,36,23;38,21,39,2,38,16;248-0.42-0.61;;1
20;95;96;48,34,43,32,20,44;26,24,34,47,17,11;98-0.43-0.61;;1
21;67;88;27,3,37,23,35,28;11,15,35,41,14,29;51-0.44-0.61;;1
22;73;81;14,13,34,43,43,16;9,22,19,23,24,36;160-0.45-0.61;;1
23;68;67;23,11,38,28,35,18;17,9,9,17,30,28;130-0.45-0.61;;1
24;82;84;37,34,45,18,20,38;18,8,25,14,46,26;19-0.43-0.62;;1
25;63;103;20,32,22,9,28,31;7,35,39,18,48,18;55-0.45-0.63;;1
26;91;118;1,32,44,39,42,46;49,25,24,26,40,31;211-0.45-0.61;;1
27;52;98;20,34,16,22,8,17;14,33,40,7,37,30;179-0.45-0.61;;1
28;59;61;38,2,45,8,37,16;2,19,37,29,49,26;61-0.41-0.38;;1
29;69;44;16,41,46,29,4,30;3,29,1,35,8,43;235-0.42-0.37;;1
30;76;39;49,25,27,38,13,19;14,9,40,5,10,24;93-0.45-0.39;;1
31;64;41;40,26,6,6,42,23;2,30,14,23,22,25;77-0.45-0.36;;1
32;63;58;36,6,9,25,40,28;2,14,21,17,47,44;96-0.44-0.4;;1
33;97;64;49,45,21,46,37,40;33,26,9,36,35,39;31-0.41-0.36;;1
34;47;67;10,34,12,4,26,29;9,40,15,42,37,31;242-0.41-0.39;;1
35;69;59;33,18,35,39,22,22;48,5,45,14,33,21;25-0.41-0.36;;1
36;55;60;36,10,14,36,10,22;18,26,13,34,14,47;57-0.43-0.4;;1
