PartcipantID:1
RandID:1
InitialTimeStamp:15-43-17-623
block;trial;eventType;elapsedTime;EyeTrackerTime
0;0;Saccade0;0.181;
0;0;ShowingSaccadeCross_Time1.011229;0.213;
0;0;ShowingSaccadeDot_Trial1_Position2;1.212;
0;0;ShowingSaccadeCross_Time0.6983857;1.329;
0;0;ShowingSaccadeDot_Trial2_Position2;2.03;
0;0;ShowingSaccadeCross_Time1.25767;2.13;
0;0;ShowingSaccadeDot_Trial3_Position2;3.399;
0;0;ShowingSaccadeCross_Time0.7698333;3.499;
0;0;ShowingSaccadeDot_Trial4_Position2;4.285;
0;0;ShowingSaccadeCross_Time1.429343;4.402;
0;0;ShowingSaccadeDot_Trial5_Position1;5.836;
0;0;ShowingSaccadeCross_Time1.458845;5.936;
0;0;ShowingSaccadeDot_Trial6_Position0;7.404;
0;0;ShowingSaccadeCross_Time0.943685;7.504;
0;0;ShowingSaccadeDot_Trial7_Position2;8.455;
0;0;ShowingSaccadeCross_Time1.374633;8.555;
0;0;ShowingSaccadeDot_Trial8_Position3;9.94;
0;0;ShowingSaccadeCross_Time1.207836;10.04;
0;0;ShowingSaccadeDot_Trial9_Position1;11.257;
0;0;ShowingSaccadeCross_Time0.6015387;11.357;
0;0;ShowingSaccadeDot_Trial10_Position1;11.958;
0;0;ShowingSaccadeCross_Time0.7457781;12.058;
0;0;ShowingSaccadeDot_Trial11_Position2;12.808;
0;0;ShowingSaccadeCross_Time1.484838;12.908;
0;0;ShowingSaccadeDot_Trial12_Position0;14.393;
0;0;ShowingSaccadeCross_Time1.272456;14.51;
0;0;ShowingSaccadeDot_Trial13_Position0;15.795;
0;0;ShowingSaccadeCross_Time0.5386285;15.894;
0;0;ShowingSaccadeDot_Trial14_Position2;16.445;
0;0;ShowingSaccadeCross_Time0.9125377;16.545;
0;0;ShowingSaccadeDot_Trial15_Position0;17.463;
0;0;ShowingSaccadeCross_Time0.9120714;17.58;
0;0;ShowingSaccadeDot_Trial16_Position3;18.497;
0;0;ShowingSaccadeCross_Time0.6079343;18.597;
0;0;ShowingSaccadeDot_Trial17_Position0;19.215;
0;0;ShowingSaccadeCross_Time1.136836;19.331;
0;0;ShowingSaccadeDot_Trial18_Position3;20.484;
0;0;ShowingSaccadeCross_Time1.024579;20.584;
0;0;ShowingSaccadeDot_Trial19_Position3;21.619;
0;0;ShowingSaccadeCross_Time1.26887;21.719;
0;0;ShowingSaccadeDot_Trial20_Position3;23.005;
0;0;ShowingSaccadeCross_Time0.5913603;23.105;
0;0;ShowingSaccadeDot_Trial21_Position0;23.706;
0;0;ShowingSaccadeCross_Time0.9002739;23.823;
0;0;ShowingSaccadeDot_Trial22_Position1;24.723;
0;0;ShowingSaccadeCross_Time0.7190743;24.824;
0;0;ShowingSaccadeDot_Trial23_Position1;25.558;
0;0;ShowingSaccadeCross_Time0.5246029;25.674;
0;0;ShowingSaccadeDot_Trial24_Position2;26.208;
0;0;ShowingSaccadeCross_Time0.8960027;26.309;
0;0;ShowingSaccadeDot_Trial25_Position0;27.211;
0;0;ShowingSaccadeCross_Time0.6410974;27.328;
0;0;ShowingSaccadeDot_Trial26_Position1;27.979;
0;0;ShowingSaccadeCross_Time1.354283;28.095;
0;0;ShowingSaccadeDot_Trial27_Position0;29.463;
0;0;ShowingSaccadeCross_Time1.134553;29.564;
0;0;ShowingSaccadeDot_Trial28_Position2;30.7;
0;0;ShowingSaccadeCross_Time0.9592229;30.8;
0;0;ShowingSaccadeDot_Trial29_Position0;31.768;
0;0;ShowingSaccadeCross_Time0.6814057;31.868;
0;0;ShowingSaccadeDot_Trial30_Position0;32.552;
0;0;ShowingSaccadeCross_Time0.5225771;32.669;
0;0;ShowingSaccadeDot_Trial31_Position3;33.203;
0;0;ShowingSaccadeCross_Time0.8919953;33.303;
0;0;ShowingSaccadeDot_Trial32_Position0;34.205;
0;0;ShowingSaccadeCross_Time0.6904813;34.305;
0;0;ShowingSaccadeDot_Trial33_Position0;35.006;
0;0;ShowingSaccadeCross_Time1.330766;35.106;
0;0;ShowingSaccadeDot_Trial34_Position2;55.575;
0;0;ShowingSaccadeCross_Time0.5299441;55.675;
0;0;ShowingSaccadeDot_Trial35_Position1;56.209;
0;0;ShowingSaccadeCross_Time1.045502;56.309;
0;0;ShowingSaccadeDot_Trial36_Position2;57.36;
0;0;ShowingSaccadeCross_Time1.355576;57.46;
0;0;ShowingSaccadeDot_Trial37_Position1;58.828;
0;0;ShowingSaccadeCross_Time1.318486;58.928;
0;0;ShowingSaccadeDot_Trial38_Position1;60.247;
0;0;ShowingSaccadeCross_Time0.583595;60.347;
0;0;ShowingSaccadeDot_Trial39_Position3;60.931;
0;0;ShowingSaccadeCross_Time1.469594;61.031;
0;0;ShowingSaccadeDot_Trial40_Position3;62.517;
0;0;ShowingSaccadeCross_Time1.162546;62.617;
0;0;ShowingSaccadeDot_Trial41_Position0;63.786;
0;0;ShowingSaccadeCross_Time1.425541;63.886;
0;0;ShowingSaccadeDot_Trial42_Position3;65.323;
0;0;ShowingSaccadeCross_Time1.400507;65.439;
0;0;ShowingSaccadeDot_Trial43_Position3;66.841;
0;0;ShowingSaccadeCross_Time0.8089028;66.942;
0;0;ShowingSaccadeDot_Trial44_Position1;67.759;
0;0;ShowingSaccadeCross_Time1.285752;67.859;
0;0;ShowingSaccadeDot_Trial45_Position3;69.145;
0;0;ShowingSaccadeCross_Time1.339694;69.262;
0;0;ShowingSaccadeDot_Trial46_Position0;70.613;
0;0;ShowingSaccadeCross_Time0.5853139;70.713;
0;0;ShowingSaccadeDot_Trial47_Position1;71.314;
0;0;ShowingSaccadeCross_Time1.100223;71.431;
0;0;ShowingSaccadeDot_Trial48_Position3;72.532;
0;0;ShowingSaccadeCross_Time0.5606404;72.632;
0;0;ShowingSaccadeDot_Trial49_Position2;73.199;
0;0;ShowingSaccadeCross_Time1.457067;73.299;
0;0;ShowingSaccadeDot_Trial50_Position2;74.77;
0;0;ShowingSaccadeCross_Time0.9137049;74.87;
0;0;ShowingSaccadeDot_Trial51_Position1;75.788;
0;0;ShowingSaccadeCross_Time1.012505;75.888;
0;0;ShowingSaccadeDot_Trial52_Position1;76.907;
0;0;ShowingSaccadeCross_Time1.153109;77.023;
0;0;ShowingSaccadeDot_Trial53_Position1;78.192;
0;0;ShowingSaccadeCross_Time1.186275;78.309;
