PartcipantID:1
RandID:1
InitialTimeStamp:15-48-16-729
block;trial;itemnumber(100=Reset);Out(0)/In(1)/Reset(2)/Other;time;EyeTrackerTime
1;1;2;1;6.900959;NA
1;1;3;1;7.351484;NA
1;1;3;0;7.552258;NA
1;1;3;1;7.719082;NA
1;1;100;2;8.554579;NA
1;1;5;1;9.690289;NA
1;1;0;1;10.44192;NA
1;1;1;1;10.77565;NA
1;1;4;1;11.57917;NA
1;1;3;1;12.29635;NA
1;1;2;1;13.14842;NA
1;1;5;0;13.63369;NA
1;1;5;1;13.85026;NA
1;1;5;0;14.0338;NA
1;1;5;1;14.21802;NA
1;1;5;0;14.40064;NA
1;2;2;1;1.240065;NA
1;2;2;0;1.424158;NA
1;2;2;1;1.590441;NA
1;2;4;1;2.224382;NA
1;2;4;0;2.374636;NA
1;2;2;0;3.05949;NA
1;2;3;1;3.577772;NA
1;2;3;0;3.994833;NA
1;2;5;1;5.096699;NA
1;2;5;0;5.547102;NA
1;2;5;1;6.032492;NA
1;2;5;0;6.599993;NA
1;2;5;1;7.252121;NA
1;2;5;0;8.170837;NA
1;2;5;1;8.80533;NA
1;2;5;0;9.507543;NA
1;2;0;1;10.72754;NA
1;2;1;1;11.56203;NA
1;2;1;0;11.99627;NA
1;2;0;0;12.54728;NA
1;2;0;1;19.79656;NA
1;2;0;0;20.18087;NA
1;2;1;1;20.66589;NA
1;2;1;0;21.13374;NA
1;2;5;1;21.53486;NA
1;2;5;0;21.9521;NA
1;2;3;1;23.22007;NA
1;2;3;0;23.62154;NA
1;2;2;1;24.45662;NA
