PartcipantID:1
RandID:1
InitialTimeStamp:12-04-00-001
block;trial;answer;correct;timeSpent;itemsSelected;finalvalue;finalweight;ReverseButtons;instanceNumber;pay;xyCoordinates;RandomNumber;SubmittedNumber
1;1;2;0;0.8344388;;0;0;0;5;0;(303.1089,175)(4.286122E-14,-350)(0,350)(-303.1089,-175)(303.1089,-175)(-303.1089,175);6636;6636
1;2;2;0;0.6517427;;0;0;0;6;0;(4.286122E-14,-350)(0,350)(-303.1089,175)(303.1089,175)(303.1089,-175)(-303.1089,-175);8387;887
1;3;1;1;0.4444523;;0;0;1;14;1.5;(303.1089,175)(4.286122E-14,-350)(-303.1089,-175)(0,350)(-303.1089,175)(303.1089,-175);6150;6150
1;4;1;1;0.583238;;0;0;1;4;1.5;(-303.1089,-175)(0,350)(303.1089,175)(-303.1089,175)(4.286122E-14,-350)(303.1089,-175);4722;4722
1;5;1;0;0.4123358;;0;0;1;1;0;(-303.1089,-175)(-350,-6.429183E-14)(-175,303.1089)(175,303.1089)(-303.1089,175)(303.1089,-175)(303.1089,175)(350,2.143061E-14)(0,350)(4.286122E-14,-350)(-175,-303.1089)(175,-303.1089);4495;4495
1;6;1;0;0.3790867;;0;0;1;10;0;(4.286122E-14,-350)(-303.1089,175)(303.1089,-175)(0,350)(303.1089,175)(-303.1089,-175);7224;7224
1;7;1;1;0.4277147;;0;0;1;3;1.5;(303.1089,-175)(4.286122E-14,-350)(-303.1089,-175)(0,350)(303.1089,175)(-303.1089,175);3761;3761
1;8;0;0;0.8020388;;0;0;0;16;0;(0,350)(303.1089,175)(4.286122E-14,-350)(-303.1089,-175)(303.1089,-175)(-303.1089,175);6244;6244
2;1;2;0;2;;0;0;0;15;0;(-303.1089,-175)(303.1089,175)(303.1089,-175)(0,350)(-303.1089,175)(4.286122E-14,-350);6895;0
2;2;1;1;2;;0;0;0;13;1.5;(-303.1089,175)(0,350)(303.1089,-175)(4.286122E-14,-350)(303.1089,175)(-303.1089,-175);6830;6830
