PartcipantID:1
RandID:1
InitialTimeStamp:21-15-11-574
block;trial;eventType;elapsedTime;EyeTrackerTime
1;0;Saccade0;1.045;
1;0;ShowingSaccadeCross_Time0.1948602;1.079;
1;0;ShowingSaccadeDot_Trial1_Position2;1.272;
1;0;ShowingSaccadeCross_Time0.1265969;2.272;
1;0;ShowingSaccadeDot_Trial2_Position0;2.408;
1;0;ShowingSaccadeCross_Time0.1880623;3.409;
1;0;ShowingSaccadeDot_Trial3_Position1;3.612;
1;0;ShowingSaccadeCross_Time0.1447949;4.614;
1;0;ShowingSaccadeDot_Trial4_Position3;4.767;
1;0;ShowingSaccadeCross_Time0.117733;5.768;
1;0;ShowingSaccadeDot_Trial5_Position2;5.887;
1;0;ShowingSaccadeCross_Time0.1041767;6.888;
1;0;ShowingSaccadeDot_Trial6_Position3;7.008;
1;0;ShowingSaccadeCross_Time0.1234796;8.01;
1;0;ShowingSaccadeDot_Trial7_Position1;8.146;
1;0;ShowingSaccadeCross_Time0.1724629;9.151;
1;0;ShowingSaccadeDot_Trial8_Position0;9.337;
1;0;ShowingSaccadeCross_Time0.1750522;10.34;
1;0;ShowingSaccadeDot_Trial9_Position2;10.527;
1;0;ShowingSaccadeCross_Time0.183638;11.53;
1;0;ShowingSaccadeDot_Trial10_Position2;11.717;
1;0;ShowingSaccadeCross_Time0.125431;12.723;
1;0;ShowingSaccadeDot_Trial11_Position1;12.859;
1;0;ShowingSaccadeCross_Time0.1229862;13.863;
1;0;ShowingSaccadeDot_Trial12_Position1;13.999;
1;0;ShowingSaccadeCross_Time0.1572038;15.001;
1;0;ShowingSaccadeDot_Trial13_Position0;15.171;
1;0;ShowingSaccadeCross_Time0.1986472;16.173;
1;0;ShowingSaccadeDot_Trial14_Position0;16.377;
1;0;ShowingSaccadeCross_Time0.1996084;17.38;
1;0;ShowingSaccadeDot_Trial15_Position3;17.584;
1;0;ShowingSaccadeCross_Time0.1505135;18.585;
1;0;ShowingSaccadeDot_Trial16_Position3;18.738;
1;0;RewardScene;19.92;NA
1;1;Trial;20.97;NA
1;1;AnswerScreen;21.98;NA
1;1;TrialAnswer;22.207;NA
1;1;ParticipantAnswer;22.995;NA
1;1;InterTrialRest;23.241;NA
1;1;RewardScene;23.578;NA
1;2;Trial;24.614;NA
1;2;AnswerScreen;25.622;NA
1;2;TrialAnswer;25.85;NA
1;2;ParticipantAnswer;26.487;NA
1;2;InterTrialRest;26.888;NA
1;2;RewardScene;27.224;NA
1;3;Trial;28.264;NA
1;3;AnswerScreen;29.275;NA
1;3;TrialAnswer;29.5;NA
1;3;ParticipantAnswer;29.878;NA
1;3;InterTrialRest;30.533;NA
1;3;RewardScene;30.876;NA
1;4;Trial;31.915;NA
1;4;AnswerScreen;32.923;NA
1;4;TrialAnswer;33.149;NA
1;4;ParticipantAnswer;33.527;NA
1;4;InterTrialRest;34.184;NA
1;4;RewardScene;34.532;NA
1;5;Trial;35.573;NA
1;5;AnswerScreen;36.583;NA
1;5;TrialAnswer;36.809;NA
1;5;ParticipantAnswer;37.239;NA
1;5;InterTrialRest;37.843;NA
1;5;RewardScene;38.177;NA
1;6;Trial;39.216;NA
1;6;AnswerScreen;40.226;NA
1;6;TrialAnswer;40.453;NA
1;6;ParticipantAnswer;40.747;NA
1;6;InterTrialRest;41.497;NA
1;6;RewardScene;41.837;NA
1;7;Trial;42.89;NA
1;7;AnswerScreen;43.905;NA
1;7;TrialAnswer;44.13;NA
1;7;ParticipantAnswer;44.63;NA
1;7;InterTrialRest;45.167;NA
1;7;RewardScene;45.515;NA
1;8;Trial;46.555;NA
1;8;AnswerScreen;47.563;NA
1;8;TrialAnswer;47.792;NA
1;8;ParticipantAnswer;48.445;NA
1;8;InterTrialRest;48.828;NA
1;8;RewardScene;49.161;NA
