PartcipantID:1
RandID:1
InitialTimeStamp:21-35-45-696
instanceNumber;capacity;profit;weights;values;id;type;sol
1;63;175;15,24,36,5,36,22,9;42,12,22,34,9,33,45;187-0.43-0.89;;0
2;86;169;28,37,11,26,19,39,46;46,44,25,1,39,19,21;41-0.42-0.87;;0
3;84;190;44,18,41,28,44,10,6;25,35,20,21,37,35,49;15-0.44-0.86;;0
4;67;151;5,29,5,17,42,38,28;45,10,43,15,26,16,21;136-0.41-0.86;;0
5;70;141;22,45,10,19,29,35,1;19,21,13,14,45,4,49;180-0.44-0.86;;0
6;72;144;2,14,13,34,43,43,16;35,9,22,19,23,24,36;137-0.44-0.86;;0
7;81;150;32,9,33,31,37,20,18;42,25,43,46,25,37,17;70-0.45-0.64;;0
8;74;102;16,20,27,17,21,29,43;25,24,39,15,36,21,8;77-0.43-0.61;;0
9;84;141;41,17,34,25,4,24,43;46,14,37,35,32,35,33;144-0.45-0.61;;0
10;80;141;13,20,31,25,44,19,36;40,13,44,42,44,21,25;73-0.43-0.62;;0
11;84;102;14,21,2,37,49,39,43;34,1,24,31,17,40,19;228-0.41-0.62;;0
12;94;143;19,20,38,33,42,35,33;34,37,22,49,18,24,47;128-0.43-0.62;;0
13;100;57;23,32,45,17,35,32,44;10,10,30,23,23,46,18;140-0.44-0.36;;1
14;86;61;3,40,21,40,23,45,38;39,5,15,13,34,25,32;28-0.41-0.38;;1
15;58;78;49,24,14,21,10,4,7;32,46,12,43,3,31,35;162-0.45-0.39;;1
16;69;97;15,1,37,36,30,20,19;41,31,11,48,38,44,37;177-0.44-0.39;;1
17;90;75;23,31,48,16,27,24,33;36,27,39,8,43,21,19;199-0.45-0.39;;1
18;82;69;37,28,8,11,48,45,23;7,29,31,29,34,9,34;115-0.41-0.4;;1
19;74;52;49,39,4,45,22,23;13,36,25,23,3,38;145-0.41-0.38;;1
20;46;68;38,8,14,23,28,3;21,44,17,36,13,45;147-0.41-0.39;;1
21;102;69;49,45,21,46,37,40;33,26,9,36,35,39;31-0.43-0.39;;1
22;66;87;37,27,22,46,3,27;47,37,34,39,43,29;69-0.41-0.38;;1
23;80;58;19,36,27,29,34,39;21,25,18,42,4,41;86-0.44-0.39;;1
24;45;53;16,26,5,20,39,4;26,6,21,47,42,3;131-0.41-0.37;;1
