PartcipantID:5
RandID:5
InitialTimeStamp:20-20-40-289
instanceNumber;capacity;profit;weights;values;id;type;sol
1;330;476;45,96,95,95,63,59,49,97,10,92,50;91,79,78,53,19,76,22,44,70,82,87;46-0.44-0.68;high_prop;0
2;338;386;86,55,92,81,91,41,76,71,54,95,28;69,15,70,74,90,25,21,29,98,23,55;79-0.44-0.68;high_prop;0
3;295;310;62,94,95,34,45,94,45,52,78,41,31;68,38,34,55,34,28,21,72,43,23,41;13-0.44-0.68;high_prop;0
4;308;458;59,82,56,52,88,27,91,84,60,10,92;24,92,38,71,95,65,69,53,68,47,52;75-0.44-0.68;high_prop;0
5;291;456;67,59,90,64,62,37,64,70,66,35,48;75,17,63,83,48,75,91,97,34,16,72;21-0.44-0.68;high_prop;0
6;326;422;57,74,89,55,32,92,89,56,50,73,74;84,54,77,30,15,78,63,32,93,73,23;81-0.44-0.68;high_prop;0
7;313;410;81,29,86,62,69,92,78,10,93,43,70;62,32,70,37,20,72,21,85,87,32,85;43-0.44-0.68;high_prop;0
8;246;437;47,51,42,26,63,18,25,79,43,69,97;58,79,78,54,59,23,79,45,73,61,35;95-0.44-0.68;high_prop;0
9;265;362;52,65,80,23,70,12,73,44,29,98,57;37,51,14,23,26,46,74,81,87,45,49;24-0.44-0.68;low_prop;1
10;257;405;25,19,34,34,86,48,80,17,89,87,66;30,26,46,97,84,90,38,77,20,70,18;0-0.44-0.68;low_prop;1
11;189;378;52,28,50,47,38,58,37,12,31,27,50;42,35,10,86,49,41,86,78,87,17,26;39-0.44-0.68;low_prop;1
12;282;361;13,58,76,92,50,26,33,77,52,98,68;80,13,24,62,42,71,16,11,89,74,49;2-0.44-0.68;low_prop;1
13;229;333;17,39,76,63,17,13,59,62,45,32,98;45,60,48,75,10,74,16,19,69,23,52;85-0.44-0.68;low_prop;1
14;270;382;48,87,83,37,84,11,43,17,52,61,91;81,11,97,73,91,13,85,51,22,23,16;93-0.44-0.68;low_prop;1
15;283;380;36,74,41,18,95,88,59,93,46,20,74;41,64,36,83,12,85,52,22,58,78,28;11-0.44-0.68;low_prop;1
16;260;456;45,14,41,95,21,52,66,82,21,77,78;20,75,92,78,78,88,19,31,53,41,96;92-0.44-0.68;low_prop;1
17;316;561;67,90,81,87,23,39,35,37,98,22,25,47,68;81,38,89,77,33,98,49,22,60,59,54,74,92;35-0.44-0.68;high_prop;0
18;272;545;53,42,15,41,68,70,32,32,64,73,24,70,36;59,81,85,54,75,41,73,87,41,70,76,14,46;96-0.44-0.68;high_prop;0
19;278;554;45,78,15,86,57,47,51,42,26,63,18,25,79;49,57,91,51,92,58,79,78,54,59,23,79,45;80-0.44-0.68;high_prop;0
