PartcipantID:5
RandID:5
InitialTimeStamp:09-19-48-298
block;trial;eventType;elapsedTime
1;0;ShowNumber;0.037
1;1;Trial;2.108
1;1;AnswerScreen;4.115
1;1;TrialAnswer;4.146
1;1;EnterNumber;5.187
1;1;InterTrialRest;7.06
1;1;InterTrialRest;7.102
1;1;ShowNumber;7.439
1;2;Trial;9.487
1;2;AnswerScreen;11.504
1;2;TrialAnswer;11.532
1;2;EnterNumber;12.576
1;2;InterTrialRest;41.084
1;2;InterTrialRest;41.124
1;2;ShowNumber;41.461
1;3;Trial;48.491
1;3;AnswerScreen;50.501
1;3;TrialAnswer;50.529
1;3;EnterNumber;51.562
1;3;InterTrialRest;56.605
1;3;InterTrialRest;56.646
1;3;ShowNumber;56.986
1;4;Trial;59.031
1;4;AnswerScreen;61.04
1;4;TrialAnswer;61.069
1;4;EnterNumber;62.106
1;4;InterTrialRest;67.151
1;4;InterTrialRest;67.198
1;4;ShowNumber;67.54
1;5;Trial;69.575
1;5;AnswerScreen;71.584
1;5;TrialAnswer;71.613
1;5;EnterNumber;72.652
1;5;InterTrialRest;77.688
1;5;InterTrialRest;77.734
1;5;ShowNumber;78.073
1;6;Trial;80.122
1;6;AnswerScreen;82.144
1;6;TrialAnswer;82.173
1;6;EnterNumber;83.208
1;6;InterTrialRest;88.252
1;6;InterTrialRest;88.298
1;6;ShowNumber;88.637
1;7;Trial;90.674
1;7;AnswerScreen;92.686
1;7;TrialAnswer;92.716
1;7;EnterNumber;93.758
1;7;InterTrialRest;98.806
1;7;InterTrialRest;98.848
1;7;ShowNumber;99.184
1;8;Trial;101.232
1;8;AnswerScreen;103.251
1;8;TrialAnswer;103.279
1;8;EnterNumber;104.314
1;8;InterTrialRest;109.358
1;8;InterTrialRest;109.397
1;8;ShowNumber;109.735
1;9;Trial;111.791
1;9;AnswerScreen;113.823
1;9;TrialAnswer;113.852
1;9;EnterNumber;114.886
1;9;InterTrialRest;119.933
1;9;InterTrialRest;119.977
1;9;ShowNumber;120.315
1;10;Trial;122.352
1;10;AnswerScreen;124.375
1;10;TrialAnswer;124.405
1;10;EnterNumber;125.44
1;10;InterTrialRest;130.481
1;10;InterTrialRest;130.525
1;10;ShowNumber;130.864
1;11;Trial;132.911
1;11;AnswerScreen;134.921
1;11;TrialAnswer;134.95
1;11;EnterNumber;135.988
1;11;InterTrialRest;141.017
1;11;InterTrialRest;141.057
1;11;ShowNumber;141.392
1;12;Trial;143.434
1;12;AnswerScreen;145.453
1;12;TrialAnswer;145.482
1;12;EnterNumber;146.516
1;12;InterTrialRest;151.554
1;12;InterTrialRest;151.595
1;12;ShowNumber;151.932
1;13;Trial;153.988
1;13;AnswerScreen;155.996
1;13;TrialAnswer;156.026
1;13;EnterNumber;157.064
1;13;InterTrialRest;162.101
1;13;InterTrialRest;162.146
1;13;ShowNumber;162.483
1;14;Trial;164.527
1;14;AnswerScreen;166.534
1;14;TrialAnswer;166.562
1;14;EnterNumber;167.601
1;14;InterTrialRest;172.641
1;14;InterTrialRest;172.685
1;14;ShowNumber;173.023
1;15;Trial;175.068
1;15;AnswerScreen;177.075
1;15;TrialAnswer;177.104
1;15;EnterNumber;178.141
1;15;InterTrialRest;183.183
1;15;InterTrialRest;183.227
1;15;ShowNumber;183.564
1;16;Trial;185.63
1;16;AnswerScreen;187.637
1;16;TrialAnswer;187.667
1;16;EnterNumber;188.71
1;16;InterTrialRest;193.748
1;16;InterTrialRest;193.795
1;16;ShowNumber;194.135
1;17;Trial;196.168
1;17;AnswerScreen;198.178
1;17;TrialAnswer;198.207
1;17;EnterNumber;199.245
1;17;InterTrialRest;203.274
1;17;InterTrialRest;203.317
1;17;ShowNumber;203.69
1;18;Trial;205.738
