PartcipantID:kps150
RandID:150
InitialTimeStamp:21-54-36-843
block;trial;eventType;elapsedTime;EyeTrackerTime
0;0;Saccade0;0.172;
0;0;ShowingSaccadeCross_Time1.278607;0.209;
0;0;ShowingSaccadeDot_Trial1_Position1;1.426;
0;0;ShowingSaccadeCross_Time1.013312;1.542;
0;0;ShowingSaccadeDot_Trial2_Position3;2.56;
0;0;ShowingSaccadeCross_Time0.8018624;2.66;
0;0;ShowingSaccadeDot_Trial3_Position0;3.478;
0;0;ShowingSaccadeCross_Time1.390069;3.578;
0;0;ShowingSaccadeDot_Trial4_Position1;4.978;
0;0;ShowingSaccadeCross_Time1.24375;5.078;
0;0;ShowingSaccadeDot_Trial5_Position1;6.328;
0;0;ShowingSaccadeCross_Time1.506869;6.428;
0;0;ShowingSaccadeDot_Trial6_Position0;7.946;
0;0;ShowingSaccadeCross_Time0.5234177;8.062;
0;0;ShowingSaccadeDot_Trial7_Position0;8.596;
0;0;ShowingSaccadeCross_Time1.271304;8.696;
0;0;ShowingSaccadeDot_Trial8_Position3;9.98;
0;0;ShowingSaccadeCross_Time1.294286;10.08;
0;0;ShowingSaccadeDot_Trial9_Position0;11.38;
0;0;ShowingSaccadeCross_Time1.138743;11.48;
0;0;ShowingSaccadeDot_Trial10_Position2;12.631;
0;0;ShowingSaccadeCross_Time1.06421;12.747;
0;0;ShowingSaccadeDot_Trial11_Position1;13.814;
0;0;ShowingSaccadeCross_Time0.6256323;13.915;
0;0;ShowingSaccadeDot_Trial12_Position1;14.548;
0;0;ShowingSaccadeCross_Time0.9654447;14.665;
0;0;ShowingSaccadeDot_Trial13_Position3;15.632;
0;0;ShowingSaccadeCross_Time0.5632383;15.732;
0;0;ShowingSaccadeDot_Trial14_Position2;16.299;
0;0;ShowingSaccadeCross_Time1.26519;16.415;
0;0;ShowingSaccadeDot_Trial15_Position0;17.683;
0;0;ShowingSaccadeCross_Time0.9210708;17.799;
0;0;ShowingSaccadeDot_Trial16_Position2;18.734;
0;0;ShowingSaccadeCross_Time0.9341977;18.834;
0;0;ShowingSaccadeDot_Trial17_Position2;19.785;
0;0;ShowingSaccadeCross_Time0.8790149;19.902;
0;0;ShowingSaccadeDot_Trial18_Position2;20.785;
0;0;ShowingSaccadeCross_Time0.9176336;20.886;
0;0;ShowingSaccadeDot_Trial19_Position3;21.805;
0;0;ShowingSaccadeCross_Time1.173531;21.922;
0;0;ShowingSaccadeDot_Trial20_Position1;23.109;
0;0;ShowingSaccadeCross_Time1.209206;23.213;
0;0;ShowingSaccadeDot_Trial21_Position2;24.43;
0;0;ShowingSaccadeCross_Time0.8051271;24.547;
0;0;ShowingSaccadeDot_Trial22_Position3;25.364;
0;0;ShowingSaccadeCross_Time1.172514;25.464;
0;0;ShowingSaccadeDot_Trial23_Position3;26.649;
0;0;ShowingSaccadeCross_Time0.6623932;26.753;
0;0;ShowingSaccadeDot_Trial24_Position0;27.42;
