PartcipantID:kps150
RandID:150
InitialTimeStamp:21-54-36-843
block;trial;answer;correct;timeSpent;itemsSelected;finalvalue;finalweight;ReverseButtons;instanceNumber;pay;xyCoordinates;RandomNumber;SubmittedNumber
1;1;2;0;1;;0;0;0;24;0;(303.1089,175)(303.1089,-175)(-303.1089,-175)(-303.1089,175)(0,350)(4.286122E-14,-350);3;0
1;2;2;0;1;;0;0;0;34;0;(-303.1089,175)(-303.1089,-175)(303.1089,175)(4.286122E-14,-350)(0,350)(303.1089,-175);9;0
1;3;2;0;1;;0;0;1;33;0;(303.1089,175)(-303.1089,175)(4.286122E-14,-350)(303.1089,-175)(0,350)(-303.1089,-175);7;0
1;4;2;0;1;;0;0;0;13;0;(4.286122E-14,-350)(303.1089,175)(303.1089,-175)(0,350)(-303.1089,175)(-303.1089,-175);534986;0
1;5;2;0;1;;0;0;1;21;0;(4.286122E-14,-350)(0,350)(303.1089,175)(-303.1089,-175)(303.1089,-175)(-303.1089,175);2;0
1;6;2;0;1;;0;0;1;15;0;(303.1089,-175)(0,350)(4.286122E-14,-350)(303.1089,175)(-303.1089,175)(-303.1089,-175);8;0
1;7;2;0;1;;0;0;1;28;0;(-303.1089,-175)(0,350)(303.1089,175)(4.286122E-14,-350)(-303.1089,175)(303.1089,-175);8;0
1;8;2;0;1;;0;0;0;25;0;(-303.1089,175)(-303.1089,-175)(0,350)(303.1089,175)(4.286122E-14,-350)(303.1089,-175);632781;0
1;9;2;0;1;;0;0;1;9;0;(0,350)(-303.1089,-175)(303.1089,-175)(-303.1089,175)(4.286122E-14,-350)(303.1089,175);895342;0
1;10;2;0;1;;0;0;0;17;0;(0,350)(4.286122E-14,-350)(303.1089,175)(-303.1089,-175)(303.1089,-175)(-303.1089,175);537812;0
1;11;2;0;1;;0;0;1;5;0;(303.1089,175)(-303.1089,175)(-303.1089,-175)(303.1089,-175)(0,350)(4.286122E-14,-350);3;0
1;12;2;0;1;;0;0;1;14;0;(303.1089,175)(-303.1089,175)(0,350)(4.286122E-14,-350)(-303.1089,-175)(303.1089,-175);4;0
2;1;2;0;1;;0;0;1;16;0;(303.1089,175)(4.286122E-14,-350)(0,350)(-303.1089,175)(303.1089,-175)(-303.1089,-175);843579;0
2;2;2;0;1;;0;0;1;27;0;(-303.1089,175)(4.286122E-14,-350)(0,350)(-303.1089,-175)(303.1089,-175)(303.1089,175);8;0
2;3;2;0;1;;0;0;1;36;0;(303.1089,175)(-303.1089,175)(0,350)(4.286122E-14,-350)(-303.1089,-175)(303.1089,-175);8;0
2;4;2;0;1;;0;0;0;7;0;(-303.1089,175)(303.1089,-175)(0,350)(-303.1089,-175)(4.286122E-14,-350)(303.1089,175);3;0
2;5;2;0;1;;0;0;0;1;0;(-303.1089,175)(4.286122E-14,-350)(-303.1089,-175)(303.1089,-175)(0,350)(303.1089,175);6;0
2;6;2;0;1;;0;0;1;4;0;(-303.1089,-175)(0,350)(303.1089,-175)(4.286122E-14,-350)(303.1089,175)(-303.1089,175);367528;0
2;7;2;0;1;;0;0;0;6;0;(303.1089,175)(-303.1089,175)(303.1089,-175)(4.286122E-14,-350)(0,350)(-303.1089,-175);635829;0
2;8;2;0;1;;0;0;0;10;0;(-303.1089,-175)(303.1089,175)(303.1089,-175)(0,350)(-303.1089,175)(4.286122E-14,-350);8;0
2;9;2;0;1;;0;0;1;29;0;(0,350)(-303.1089,175)(-303.1089,-175)(303.1089,175)(303.1089,-175)(4.286122E-14,-350);538692;0
2;10;2;0;1;;0;0;0;32;0;(-303.1089,175)(303.1089,-175)(-303.1089,-175)(0,350)(303.1089,175)(4.286122E-14,-350);945283;0
2;11;2;0;1;;0;0;1;31;0;(303.1089,-175)(303.1089,175)(-303.1089,-175)(-303.1089,175)(4.286122E-14,-350)(0,350);659410;0
2;12;2;0;1;;0;0;0;22;0;(4.286122E-14,-350)(303.1089,-175)(0,350)(303.1089,175)(-303.1089,-175)(-303.1089,175);8;0
3;1;2;0;1;;0;0;0;12;0;(4.286122E-14,-350)(0,350)(-303.1089,175)(303.1089,175)(-303.1089,-175)(303.1089,-175);1;0
3;2;2;0;1;;0;0;0;30;0;(303.1089,175)(-303.1089,-175)(4.286122E-14,-350)(303.1089,-175)(-303.1089,175)(0,350);9;0
3;3;2;0;1;;0;0;1;23;0;(-303.1089,-175)(-303.1089,175)(4.286122E-14,-350)(303.1089,-175)(0,350)(303.1089,175);289103;0
3;4;2;0;1;;0;0;1;20;0;(0,350)(4.286122E-14,-350)(303.1089,-175)(-303.1089,-175)(-303.1089,175)(303.1089,175);723168;0
3;5;2;0;1;;0;0;0;26;0;(303.1089,175)(4.286122E-14,-350)(0,350)(-303.1089,175)(-303.1089,-175)(303.1089,-175);502816;0
3;6;2;0;1;;0;0;1;3;0;(4.286122E-14,-350)(-303.1089,-175)(303.1089,175)(0,350)(303.1089,-175)(-303.1089,175);6;0
3;7;2;0;1;;0;0;0;2;0;(-303.1089,-175)(0,350)(4.286122E-14,-350)(303.1089,175)(-303.1089,175)(303.1089,-175);836045;0
3;8;2;0;1;;0;0;1;19;0;(-303.1089,-175)(303.1089,-175)(303.1089,175)(4.286122E-14,-350)(-303.1089,175)(0,350);174835;0
